fecha,id_cliente,id_producto,unidades,precio_unitario
2025-10-24,1486,25.0,7,28.59
2025-10-24,1625,4.0,9,144.56
2025-10-24,1040,32.0,1,75.3
2025-10-24,1688,40.0,6,45.12
2025-10-24,1898,11.0,1,112.05
2025-10-24,1627,14.0,6,82.57
2025-10-24,1159,27.0,3,142.55
2025-10-24,1250,37.0,4,55.76
2025-10-24,1265,18.0,5,146.64
2025-10-24,1373,47.0,7,145.26
2025-10-24,1723,20.0,8,24.98
2025-10-24,1274,41.0,1,42.43
2025-10-24,,12.0,7,40.45
2025-10-24,1633,36.0,3,58.03
2025-10-24,1454,42.0,5,77.49
2025-10-24,1500,1.0,9,35.41
2025-10-24,1315,7.0,8,17.87
2025-10-24,1275,17.0,9,95.99
2025-10-24,1651,6.0,8,41.73
2025-10-24,1982,11.0,3,40.76
2025-10-24,1654,15.0,5,80.22
2025-10-24,1789,20.0,2,126.8
2025-10-24,1107,44.0,6,24.38
2025-10-24,1820,27.0,8,127.96
2025-10-24,1926,35.0,5,94.73
2025-10-24,1252,7.0,6,126.61
2025-10-24,1566,40.0,9,7.44
2025-10-24,1753,1.0,9,87.96
2025-10-24,1513,18.0,1,56.75
2025-10-24,1947,11.0,4,30.79
2025-10-24,1511,30.0,7,111.25
2025-10-24,1906,13.0,4,79.01
2025-10-24,1460,17.0,8,26.58
2025-10-24,1692,32.0,8,18.76
2025-10-24,1552,12.0,2,44.84
2025-10-24,1099,25.0,3,102.1
2025-10-24,1795,12.0,8,37.17
2025-10-24,1109,14.0,2,121.97
2025-10-24,1554,14.0,8,53.13
2025-10-24,1516,33.0,9,90.82
2025-10-24,1745,4.0,9,95.17
2025-10-24,1185,22.0,6,91.27
2025-10-24,1349,37.0,2,130.73
2025-10-24,1193,31.0,6,103.73
2025-10-24,1306,6.0,2,23.52
2025-10-24,1944,12.0,8,143.07
2025-10-24,1816,10.0,0,138.9
2025-10-24,1941,6.0,5,140.02
2025-10-24,1794,8.0,5,61.23
2025-10-24,1116,30.0,8,103.85
2025-10-24,1118,9.0,7,92.56
2025-10-24,1289,30.0,2,-14.45
2025-10-24,1253,35.0,1,77.75
2025-10-24,1830,28.0,2,145.84
2025-10-24,1548,22.0,1,103.13
2025-10-24,-1,16.0,2,85.5
2025-10-24,1485,13.0,1,73.2
2025-10-24,1715,37.0,9,146.87
2025-10-24,1501,45.0,5,136.02
2025-10-24,1049,16.0,4,27.26
2025-10-24,1069,44.0,7,97.09
2025-10-24,1936,44.0,4,101.59
2025-10-24,1952,37.0,4,-55.26
2025-10-24,1478,5.0,2,87.61
2025-10-24,1454,6.0,1,110.46
2025-10-24,1271,33.0,8,93.83
2025-10-24,1762,32.0,5,24.29
2025-10-24,1093,32.0,3,96.88
2025-10-24,1957,19.0,1,131.58
2025-10-24,1703,25.0,7,7.65
2025-10-24,1640,9.0,6,37.19
2025-10-24,1128,44.0,1,137.42
2025-10-24,1542,38.0,4,45.37
2025-10-24,1902,23.0,4,28.59
2025-10-24,1094,10.0,7,115.42
2025-10-24,1870,30.0,8,91.12
2025-10-24,1791,8.0,3,105.01
2025-10-24,1960,33.0,9,9.93
2025-10-24,1294,27.0,4,69.94
2025-10-24,1133,23.0,6,82.17
2025-10-24,1920,7.0,5,111.87
2025-10-24,1604,43.0,2,116.69
2025-10-24,1284,45.0,9,125.36
2025-10-24,1482,46.0,9,96.41
2025-10-24,1272,10.0,8,6.79
2025-10-24,1123,28.0,1,54.47
2025-10-24,1055,3.0,2,128.74
2025-10-24,1201,48.0,5,82.65
2025-10-24,1100,41.0,4,43.98
