fecha,id_cliente,id_producto,unidades,precio_unitario
2025-11-04,1990,13.0,9,139.11
2025-11-04,1452,4.0,1,6.19
2025-11-04,1629,36.0,9,8.83
2025-11-04,1315,40.0,5,128.88
2025-11-04,1901,31.0,3,90.29
2025-11-04,1694,24.0,4,32.81
2025-11-04,1094,8.0,5,10.81
2025-11-04,1581,44.0,3,124.13
2025-11-04,1981,3.0,6,62.18
2025-11-04,1248,9.0,1,50.32
2025-11-04,1583,24.0,2,81.57
2025-11-04,1415,4.0,2,63.58
2025-11-04,1458,41.0,3,38.33
2025-11-04,1395,26.0,5,130.78
2025-11-04,1190,19.0,2,53.05
2025-11-04,1495,14.0,6,92.94
2025-11-04,1155,35.0,4,55.66
2025-11-04,1700,22.0,9,122.27
2025-11-04,1565,48.0,9,131.44
2025-11-04,1587,25.0,5,131.04
2025-11-04,,8.0,5,73.81
2025-11-04,1577,16.0,2,38.59
2025-11-04,1386,7.0,7,103.34
2025-11-04,1018,44.0,9,132.47
2025-11-04,1322,28.0,8,88.81
2025-11-04,1371,39.0,7,105.73
2025-11-04,1686,47.0,8,27.9
2025-11-04,1685,38.0,9,73.7
2025-11-04,1688,14.0,7,136.72
2025-11-04,1069,28.0,7,133.08
2025-11-04,1149,9.0,7,-137.87
2025-11-04,1526,24.0,9,5.45
2025-11-04,1853,36.0,1,83.88
2025-11-04,1767,11.0,9,8.5
2025-11-04,1074,48.0,9,148.34
2025-11-04,1048,29.0,2,111.84
2025-11-04,1313,8.0,8,81.32
2025-11-04,1071,9.0,4,34.59
2025-11-04,1346,40.0,1,68.21
2025-11-04,1645,8.0,2,140.66
2025-11-04,1381,21.0,-5,121.06
2025-11-04,1719,10.0,9,13.69
2025-11-04,1366,4.0,2,107.56
2025-11-04,1090,20.0,8,33.3
2025-11-04,1516,43.0,9,141.48
2025-11-04,1683,43.0,2,144.02
2025-11-04,1525,17.0,3,29.11
2025-11-04,1535,4.0,5,35.67
2025-11-04,1893,49.0,4,26.02
2025-11-04,1860,11.0,8,32.94
2025-11-04,1987,5.0,1,79.07
2025-11-04,1355,17.0,8,17.95
2025-11-04,1048,47.0,2,106.36
2025-11-04,1276,25.0,5,137.49
